SITIO,d,cw,h,cb
50,27.1,8.2,14,8
43,22,4.45,14.7,10.9
43,38,6.75,22.1,13.8
43,46,7.7,23.3,15
43,42.3,7.65,20.9,10.6
43,39.5,7.3,20.4,12
43,35.1,7.75,22,14.8
43,31.1,5.15,20.5,14.7
19,21.6,8.45,12.7,10.2
19,16.6,4.75,11.5,10.2
19,13.7,4.1,9.6,7.1
25,11.2,4.25,7.2,4.1
20,12.8,4.6,8.7,5.4
1,13.7,5.1,14.6,6.4
1,35.3,7.7,16.2,7.7
1,20.5,5.5,18.1,8.4
1,14.4,3.1,13.3,10.1
1,13.2,5.05,11.7,8.6
1,14.9,4.05,13.2,5.2
1,24.6,7.7,14.7,7.1
1,24.1,6.2,18.2,9.1
1,28.2,7.1,18.9,9.3
1,9.2,2.25,7.8,4.4
1,13.9,4.3,11.2,6.5
1,18.4,4.4,15.3,7.2
1,14.6,4.35,10.6,5.4
14,12,4.35,7.5,3.8
14,19.4,7.2,11.8,3.5
14,23,7.75,11.4,3.2
14,10.5,4,5.9,2.2
14,8.8,3.95,5.8,3.2
10,22,4.65,18.2,13
10,26.7,4.7,21.6,13.6
10,20.6,3.75,15.2,10.6
10,23.2,3.15,22.8,15.7
10,27.9,4.1,18.7,12.9
10,24.5,4.5,18,10.6
10,12.4,3.15,9.9,6.8
10,21.7,3.25,17.8,12.1
10,28.9,4.95,19.6,10.7
10,26.2,4.85,19.5,13.4
10,19,2.45,16.3,12.9
10,31.2,4.95,20.5,12.5
10,29.1,5.3,21,11.2
10,32.9,6.65,20.4,12.6
10,23.7,4.45,22,16.3
10,24.5,2.9,23.1,14.1
10,31.9,5.3,22,13.8
10,16.3,2.85,15.6,14.8
10,36.3,6.65,21.2,12.9
10,32.7,4.8,21.9,12.8
10,12,3.05,7.3,5.3
10,31,4.75,20.8,11.6
10,30,4.4,21.7,12.3
10,35.9,6.4,18.7,10.6
10,32,5.25,23,16
10,12.6,2.9,12.2,8.9
10,14,3.05,12,7.4
10,33.1,5.4,18.3,12.8
10,34.8,6.1,20,11.5
10,29.4,5,18.2,12.2
10,27.2,4.6,19.3,11.6
10,26,4.15,22.2,13.8
10,29.7,5,20.2,8
10,32.7,4.8,21.1,13
10,28,3.35,20.3,12.9
10,20,2.95,17.1,13.8
10,22,3.5,20.2,13.6
10,37.5,4.95,22.1,13.5
10,21.3,3.8,19.7,13
10,20,4.1,15.8,10.2
10,12.3,2.05,14.9,10.7
10,40.4,4.3,18.1,12.1
10,19.3,3.8,16.8,11.2
10,12,1.85,11.6,9.5
10,28.5,6.85,20.4,12
10,23.5,4.05,17.5,12.1
10,20.4,3.45,16.7,11
17,9.9,6.95,6.1,3.8
17,28.9,6.75,15.4,6.5
17,16.3,4,8,5.2
17,13.6,3.7,11.2,8.7
17,25.3,5.45,15.7,3.6
17,17.1,4.75,12,3.1
17,14.1,3.55,10.3,6.8
17,26.2,6.6,15.5,10.3
17,30.8,3.8,14.3,8.2
17,26.1,7.95,12.7,7.2
17,33.5,7.7,16.2,8.4
17,23.6,4.8,11.4,8
17,16.5,4.5,12.3,7.1
17,23.8,6.5,13.3,8.4
17,32.2,8.65,17.2,10.1
17,9.5,3.65,7.3,5.3
17,10.8,4.25,14.4,7.5
58,76.2,13.95,35.4,22.6
58,70.5,15.4,36,26.1
15,49,9.25,21.1,6.8
15,15.6,3.2,11.8,5.6
15,12.7,3.3,7.8,3.2
15,15.5,4,8.5,4.2
15,29.7,5.75,14.4,3.1
15,31.1,6.95,16.5,7.2
13,12.7,3.65,10.6,4.9
13,23.3,6.9,11.8,4.5
13,25.3,5.6,13.9,5.9
13,16,5.3,11.7,4.4
13,26.5,7.45,11.5,4.2
13,10,3.2,6.4,3.5
13,25.3,6,11.8,4.1
13,18.8,4.95,12.7,6.5
13,44.2,9.45,15.9,5.7
13,17.2,4.5,10.7,4.8
13,24.6,7.05,12.3,5.7
13,12.3,3.3,9.2,4.6
13,11.3,3.55,10.3,6.3
13,24.5,6.75,13.9,5.8
13,17.2,4.3,11.9,6.9
13,12.4,3.7,6.1,1.9
13,13.4,4.9,9.5,3.9
13,16.9,4.15,9.4,4.5
13,10.3,3.75,4.5,3.8
13,11,4.05,6.8,3.3
13,12.5,3.35,6,1.6
13,11.4,2.95,11.3,7.4
13,16.7,4.95,12.1,5.8
13,24,6.75,12.8,5.7
13,15.3,3.55,9.5,3.9
13,10.1,3.1,6.3,2.4
51,30.1,6.75,15.2,11.8
34,21.9,3.75,15.8,10.3
34,18.1,5.2,15.9,12.3
34,32.4,8.8,17.2,14.2
5,9.9,2.9,8.3,5.7
5,12.4,4.1,8.3,4.7
5,11.1,2.75,10.2,7.4
5,17.3,3.95,12.5,6.7
5,8.7,2.15,9.3,6.5
5,10,2.45,10.6,7.3
5,16.9,3.1,11.6,7.3
5,14,3.9,10.1,4.9
5,13.5,3.45,11,6.2
5,10.3,3.45,6.6,4
5,12,3.1,10,6.3
5,11.7,2.9,7,4.3
5,11.6,2.6,10,5.9
5,14.5,2.85,10.9,7.3
5,10.4,3.8,10.5,5.6
5,9.4,2.2,8.7,6.7
5,16,3.4,11,5.6
5,13.3,3.25,9.3,6
5,14.3,3.3,11.1,7.1
5,14.4,4.3,12.7,7.6
5,14.2,3.6,11.7,6.6
5,11.4,3.95,9,5.4
5,9.9,2.5,7.6,4.9
5,14.8,4.3,10.9,5.8
5,13.5,2.5,12.9,9.6
5,10.1,3.25,7.5,4.8
5,16.3,4.55,12.5,8.2
5,14.2,3.6,12.7,8.9
